         1 0.14102101 3.00010000
         5 0.40828430 3.00010000
         9 0.63398647 3.00010000
        13 0.79905087 3.00010000
        17 0.89532965 3.00010000
        21 0.92644352 3.00010000
        25 0.92635598 3.02080000
        29 0.92625951 3.03690000
        33 0.92619508 3.04920000
        37 0.92614984 3.05890000
        41 0.92611697 3.06680000
        45 0.92609227 3.07330000
        49 0.92607296 3.07880000
        53 0.92605827 3.08340000
        57 0.92604616 3.08740000
        61 0.92603649 3.09090000
        65 0.92602861 3.09400000
        69 0.92602190 3.09670000
        73 0.92601569 3.09910000
        77 0.92601144 3.10130000
        81 0.92600726 3.10330000
        85 0.92600310 3.10510000
        89 0.92600072 3.10670000
        93 0.92599758 3.10820000
        97 0.92599482 3.10950000
