        19 0.92662376 2.98450000
        23 0.92642339 3.01070000
        27 0.92630264 3.02940000
        31 0.92622428 3.04340000
        35 0.92617053 3.05430000
        39 0.92613191 3.06310000
        43 0.92610378 3.07020000
        47 0.92608184 3.07610000
        51 0.92606525 3.08120000
        55 0.92605201 3.08550000
        59 0.92604095 3.08920000
        63 0.92603244 3.09250000
        67 0.92602513 3.09540000
        71 0.92601835 3.09800000
        75 0.92601296 3.10030000
        79 0.92600917 3.10230000
        83 0.92600560 3.10420000
        87 0.92600230 3.10590000
        91 0.92599810 3.10740000
        95 0.92599617 3.10890000
        99 0.92599428 3.11020000
