000000001.27000000, 000000004.85902000, 000000047.61839600, 000000002.99145800, 000000050.60985400
000000001.29000000, 000000004.80912000, 000000047.12937600, 000000003.49008200, 000000050.61945800
000000001.31000000, 000000004.75530000, 000000046.60194000, 000000004.02712200, 000000050.62906200
000000001.33000000, 000000004.69756000, 000000046.03608800, 000000004.60257800, 000000050.63866600
000000001.35000000, 000000004.63590000, 000000045.43182000, 000000005.21645000, 000000050.64827000
000000001.37000000, 000000004.57032000, 000000044.78913600, 000000005.86873800, 000000050.65787400
000000001.39000000, 000000004.50082000, 000000044.10803600, 000000006.55944200, 000000050.66747800
000000001.41000000, 000000004.42740000, 000000043.38852000, 000000007.28856200, 000000050.67708200
000000001.43000000, 000000004.35006000, 000000042.63058800, 000000008.05609800, 000000050.68668600
000000001.45000000, 000000004.26880000, 000000041.83424000, 000000008.86205000, 000000050.69629000
000000001.47000000, 000000004.18362000, 000000040.99947600, 000000009.70641800, 000000050.70589400
000000001.49000000, 000000004.09452000, 000000040.12629600, 000000010.58920200, 000000050.71549800
000000001.51000000, 000000004.00150000, 000000039.21470000, 000000011.51040200, 000000050.72510200
000000001.53000000, 000000003.90456000, 000000038.26468800, 000000012.47001800, 000000050.73470600
000000001.55000000, 000000003.80370000, 000000037.27626000, 000000013.46805000, 000000050.74431000
000000001.57000000, 000000003.69892000, 000000036.24941600, 000000014.50449800, 000000050.75391400
000000001.59000000, 000000003.59022000, 000000035.18415600, 000000015.57936200, 000000050.76351800
000000001.61000000, 000000003.47760000, 000000034.08048000, 000000016.69264200, 000000050.77312200
000000001.63000000, 000000003.36106000, 000000032.93838800, 000000017.84433800, 000000050.78272600
000000001.65000000, 000000003.24060000, 000000031.75788000, 000000019.03445000, 000000050.79233000
000000001.67000000, 000000003.11622000, 000000030.53895600, 000000020.26297800, 000000050.80193400
000000001.69000000, 000000002.98792000, 000000029.28161600, 000000021.52992200, 000000050.81153800
000000001.71000000, 000000002.85570000, 000000027.98586000, 000000022.83528200, 000000050.82114200
000000001.73000000, 000000002.71956000, 000000026.65168800, 000000024.17905800, 000000050.83074600
000000001.75000000, 000000002.57950000, 000000025.27910000, 000000025.56125000, 000000050.84035000
000000001.77000000, 000000002.43552000, 000000023.86809600, 000000026.98185800, 000000050.84995400
000000001.79000000, 000000002.28762000, 000000022.41867600, 000000028.44088200, 000000050.85955800
000000001.81000000, 000000002.13580000, 000000020.93084000, 000000029.93832200, 000000050.86916200
000000001.83000000, 000000001.98006000, 000000019.40458800, 000000031.47417800, 000000050.87876600
000000001.85000000, 000000001.82040000, 000000017.83992000, 000000033.04845000, 000000050.88837000
000000001.87000000, 000000001.65682000, 000000016.23683600, 000000034.66113800, 000000050.89797400
000000001.89000000, 000000001.48932000, 000000014.59533600, 000000036.31224200, 000000050.90757800
000000001.91000000, 000000001.31790000, 000000012.91542000, 000000038.00176200, 000000050.91718200
000000001.93000000, 000000001.14256000, 000000011.19708800, 000000039.72969800, 000000050.92678600
000000001.95000000, 000000000.96330000, 000000009.44034000, 000000041.49605000, 000000050.93639000
000000001.97000000, 000000000.78012000, 000000007.64517600, 000000043.30081800, 000000050.94599400
000000001.99000000, 000000000.59302000, 000000005.81159600, 000000045.14400200, 000000050.95559800
000000002.01000000, 000000000.40200000, 000000003.93960000, 000000047.02560200, 000000050.96520200
000000002.03000000, 000000000.20706000, 000000002.02918800, 000000048.94561800, 000000050.97480600
000000002.05000000, 000000000.00820000, 000000000.08036000, 000000050.90405000, 000000050.98441000
